processed_id,raw_id,source_type,source_name,url,fetch_date,content_date,scraping_status,title,keywords,content
1,1,url,nature,https://www.nature.com/articles/d41586-025-03394-w,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.nature.com/articles/d41586-025-03394-w,,Placeholder content for https://www.nature.com/articles/d41586-025-03394-w
2,2,url,quantamagazine.org,https://www.quantamagazine.org/self-assembly-gets-automated-in-reverse-of-game-of-life-20250910/,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.quantamagazine.org/self-assembly-gets-automated-in-reverse-of-game-of-life-20250910/,,Placeholder content for https://www.quantamagazine.org/self-assembly-gets-automated-in-reverse-of-game-of-life-20250910/
3,3,url,eopla.net,https://eopla.net/magazines/34509,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://eopla.net/magazines/34509,,Placeholder content for https://eopla.net/magazines/34509
4,4,url,realty.chosun.com,https://realty.chosun.com/site/data/html_dir/2025/09/24/2025092403537.html,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://realty.chosun.com/site/data/html_dir/2025/09/24/2025092403537.html,,Placeholder content for https://realty.chosun.com/site/data/html_dir/2025/09/24/2025092403537.html
5,5,url,hani.co.kr,https://www.hani.co.kr/arti/science/science_general/1220605.html#ace04ou,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.hani.co.kr/arti/science/science_general/1220605.html#ace04ou,,Placeholder content for https://www.hani.co.kr/arti/science/science_general/1220605.html#ace04ou
6,6,url,m.blog.naver.com,https://m.blog.naver.com/loonshots88/223990721447?isInf=true,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://m.blog.naver.com/loonshots88/223990721447?isInf=true,,Placeholder content for https://m.blog.naver.com/loonshots88/223990721447?isInf=true
7,7,url,docdocdoc.co.kr,https://www.docdocdoc.co.kr/news/articleView.html?idxno=3032272,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.docdocdoc.co.kr/news/articleView.html?idxno=3032272,,Placeholder content for https://www.docdocdoc.co.kr/news/articleView.html?idxno=3032272
8,8,url,news.hada.io,https://news.hada.io/topic?id=23368,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://news.hada.io/topic?id=23368,,Placeholder content for https://news.hada.io/topic?id=23368
9,9,url,youtu.be,https://youtu.be/Mlcon1gooMU?si=Tj0CidTwChS-Wqyl,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://youtu.be/Mlcon1gooMU?si=Tj0CidTwChS-Wqyl,,Placeholder content for https://youtu.be/Mlcon1gooMU?si=Tj0CidTwChS-Wqyl
10,10,url,instagram.com,https://www.instagram.com/p/DLpQl8WgyJV/?igsh=MWV4cnFnbDg1MmU3eg==,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.instagram.com/p/DLpQl8WgyJV/?igsh=MWV4cnFnbDg1MmU3eg==,,Placeholder content for https://www.instagram.com/p/DLpQl8WgyJV/?igsh=MWV4cnFnbDg1MmU3eg==
11,11,url,youtube.com,https://youtube.com/shorts/-18Q5s_mSDQ?si=xY7zrhkjAomx7660,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://youtube.com/shorts/-18Q5s_mSDQ?si=xY7zrhkjAomx7660,,Placeholder content for https://youtube.com/shorts/-18Q5s_mSDQ?si=xY7zrhkjAomx7660
12,12,url,alphamarketing.shop,https://www.alphamarketing.shop/?utm_medium=paid&utm_source=ig&utm_id=23849141487670795&utm_content=23849141487660795&utm_term=23849141487650795&utm_campaign=23849141487670795&fbclid=PAb21jcANJLJJleHRuA2FlbQEwAGFkaWQAVLqrBbzWawGnV6-P8E2jG-0EskiIjTBhQZkFuX,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.alphamarketing.shop/?utm_medium=paid&utm_source=ig&utm_id=23849141487670795&utm_content=23849141487660795&utm_term=23849141487650795&utm_campaign=23849141487670795&fbclid=PAb21jcANJLJJleHRuA2FlbQEwAGFkaWQAVLqrBbzWawGnV6-P8E2jG-0EskiIjTBhQZkFuX,,Placeholder content for https://www.alphamarketing.shop/?utm_medium=paid&utm_source=ig&utm_id=23849141487670795&utm_content=23849141487660795&utm_term=23849141487650795&utm_campaign=23849141487670795&fbclid=PAb21jcANJLJJleHRuA2FlbQEwAGFkaWQAVLqrBbzWawGnV6-P8E2jG-0EskiIjTBhQZkFuX
13,14,url,youtube.com,http://youtube.com/post/UgkxMPYNQ6ZOJLpdDew-vCArEPg0LhyfL1Gv?si=epZn9T328J42HWn1,2025-10-21T03:32:42.214Z,,success,Placeholder Title for http://youtube.com/post/UgkxMPYNQ6ZOJLpdDew-vCArEPg0LhyfL1Gv?si=epZn9T328J42HWn1,,Placeholder content for http://youtube.com/post/UgkxMPYNQ6ZOJLpdDew-vCArEPg0LhyfL1Gv?si=epZn9T328J42HWn1
14,15,url,youtube.com,https://www.youtube.com/shorts/3txNW1sxL7c,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.youtube.com/shorts/3txNW1sxL7c,,Placeholder content for https://www.youtube.com/shorts/3txNW1sxL7c
15,16,url,nad.com,https://www.nad.com/news/anti-aging-breakthrough-stem-cells-reverse-signs-of-aging-in-monkeys,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.nad.com/news/anti-aging-breakthrough-stem-cells-reverse-signs-of-aging-in-monkeys,,Placeholder content for https://www.nad.com/news/anti-aging-breakthrough-stem-cells-reverse-signs-of-aging-in-monkeys
16,17,url,snulife.com,https://www.snulife.com/board/best/view/?category=10&id=2427291,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.snulife.com/board/best/view/?category=10&id=2427291,,Placeholder content for https://www.snulife.com/board/best/view/?category=10&id=2427291
17,18,url,zdnet.co.kr,https://zdnet.co.kr/view/?no=20251002144624#_DYAD,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://zdnet.co.kr/view/?no=20251002144624#_DYAD,,Placeholder content for https://zdnet.co.kr/view/?no=20251002144624#_DYAD
18,19,url,x.com,https://x.com/UvixOnly/status/1974004623171334179?t=U2y1_cKf7d7dyhLgLqlnAQ&s=19,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://x.com/UvixOnly/status/1974004623171334179?t=U2y1_cKf7d7dyhLgLqlnAQ&s=19,,Placeholder content for https://x.com/UvixOnly/status/1974004623171334179?t=U2y1_cKf7d7dyhLgLqlnAQ&s=19
19,20,url,g-enews.com,https://www.g-enews.com/article/Global-Biz/2025/09/202509291402212069e250e8e188_1,2025-10-21T03:32:42.214Z,,success,Placeholder Title for https://www.g-enews.com/article/Global-Biz/2025/09/202509291402212069e250e8e188_1,,Placeholder content for https://www.g-enews.com/article/Global-Biz/2025/09/202509291402212069e250e8e188_1
