processed_ids,subject,provider,model,profile
1,Analysis of: Blood tests are now approved for Alzheimer’s: how accurate are they?,auto,,general_analysis
2,Analysis of: Self-Assembly Gets Automated in Reverse of ‘Game of Life’,auto,,general_analysis
3,Analysis of: AI 블로그 SaaS로 2개월만에 엔화를 쓸어가는 창업가,auto,,tech_analysis
4,Analysis of: 땅집GO,auto,,general_analysis
5,Analysis of: 한겨레,auto,,general_analysis
6,Analysis of: 블로그,auto,,general_analysis
7,"Analysis of: 7년간 유방암 환자 침·뜸만 한 한의사…""한의학적 한계"" 항변했지만 < 의판사판 < 의료 < 기사본문 - 청년의사",auto,,medical_analysis
8,Analysis of: 디지털 애널리틱스의 종말,auto,,general_analysis
9,Analysis of: 쉼 없이 일만 할 때 죽어버린다는 뇌 부위.gif - YouTube,auto,,general_analysis
10,Analysis of: Post을(를) 이용할 수 없습니다 • Instagram,auto,,general_analysis
11,Analysis of: YouTube,auto,,general_analysis
12,"Analysis of: 알파 마케팅은
해외 인플루언서 마케팅 전문가입니다.",auto,,general_analysis
13,Analysis of: BZCF | 비즈까페님의 게시물 - YouTube,auto,,general_analysis
14,Analysis of: YouTube,auto,,general_analysis
15,Analysis of: Anti-Aging Breakthrough: Stem Cells Reverse Signs of Aging in Monkeys,auto,,general_analysis
16,Analysis of: 베스트 게시판 | SNULife,auto,,general_analysis
17,Analysis of: [기고] 구글 TPU가 바꾼 AI 인프라의 미래,auto,,tech_analysis
18,Analysis of: N/A (Blocked),auto,,general_analysis
19,"Analysis of: ""양자 컴퓨팅, 6,100 큐비트 프로세서 개발 '퀀텀 점프' 이뤘다""",auto,,general_analysis
20,Analysis of: Bloomberg,auto,,general_analysis
21,Analysis of: 스레드,auto,,general_analysis
22,Analysis of: 강원도민일보,auto,,general_analysis
23,Analysis of: 동아사이언스,auto,,general_analysis
24,Analysis of: 동아사이언스,auto,,general_analysis
25,Analysis of: 조선비즈,auto,,general_analysis
26,Analysis of: 매일 경제,auto,,general_analysis
1,"Analysis of: Thousands of scientists are cutting back on Twitter, seeding angst and uncertainty",auto,,general_analysis
