"processed_ids","subject","provider","model","profile"
"1","Blood tests are now approved for Alzheimer’s: how accurate are they?","openai","gpt-4o-mini","sns_draft_v1"
"2","Self-Assembly Gets Automated in Reverse of ‘Game of Life’","openai","gpt-4o-mini","sns_draft_v1"
"3","AI 블로그 SaaS로 2개월만에 엔화를 쓸어가는 창업가","openai","gpt-4o-mini","sns_draft_v1"
"4","100자평 0 페이스북 0 카카오스토리 카카오톡 입력 : 2025.","openai","gpt-4o-mini","sns_draft_v1"
"5","본문미래&과학과학‘한꺼번에 반짝’, 의사 결정은 뇌 전체가 부르는 합창곽노필의 미래창특정 영역 주도 아닌 총체적 협력 산물곽노필기자수정 2025-09-25 09:38등록 20...","openai","gpt-4o-mini","sns_draft_v1"
"6","로그인이 필요합니다.","openai","gpt-4o-mini","sns_draft_v1"
"7","7년간 유방암 환자 침·뜸만 한 한의사…""한의학적 한계"" 항변했지만 < 의판사판 < 의료 < 기사본문 - 청년의사","openai","gpt-4o-mini","sns_draft_v1"
"8","디지털 애널리틱스의 종말","openai","gpt-4o-mini","sns_draft_v1"
"9","뒤로 KR 탐색 건너뛰기 검색 음성으로 검색 로그인 KR 쉼 없이 일만 할 때 죽어버린다는 뇌 부위.","openai","gpt-4o-mini","sns_draft_v1"
"10","Instagram로그인가입하기Instagram로그인errorPost을(를) 이용할 수 없습니다현재 이 페이지를 읽어들일 수 없습니다.","openai","gpt-4o-mini","sns_draft_v1"
"11","뒤로 KR 탐색 건너뛰기 검색 음성으로 검색 로그인 KR 홈 홈 Shorts Shorts 구독 구독 내 페이지 내 페이지 기록 기록 @driverlover97구독how to ...","openai","gpt-4o-mini","sns_draft_v1"
"12","알파 마케팅은 해외 인플루언서 마케팅 전문가입니다.","openai","gpt-4o-mini","sns_draft_v1"
"13","뒤로 KR 탐색 건너뛰기 검색 음성으로 검색 로그인 KR 홈 홈 Shorts Shorts 구독 구독 내 페이지 내 페이지 기록 기록 BZCF | 비즈까페 2주 전 2주 전 정...","openai","gpt-4o-mini","sns_draft_v1"
"14","뒤로 KR 탐색 건너뛰기 검색 음성으로 검색 로그인 KR 홈 홈 Shorts Shorts 구독 구독 내 페이지 내 페이지 기록 기록 @lee_bro구독연봉은 이렇게 설계됩니다...","openai","gpt-4o-mini","sns_draft_v1"
"15","Anti-Aging Breakthrough: Stem Cells Reverse Signs of Aging in Monkeys","openai","gpt-4o-mini","sns_draft_v1"
"16","베스트 게시판 | SNULife","openai","gpt-4o-mini","sns_draft_v1"
"17","[기고] 구글 TPU가 바꾼 AI 인프라의 미래","openai","gpt-4o-mini","sns_draft_v1"
"19","""양자 컴퓨팅, 6,100 큐비트 프로세서 개발 '퀀텀 점프' 이뤘다""","openai","gpt-4o-mini","sns_draft_v1"
"20","Bloomberg Need help?","openai","gpt-4o-mini","sns_draft_v1"
"21","홈검색만들기알림프로필고정더 보기더 보기로그인돌아가기스레드조회 68만회travelswithviews2025-10-06더 보기✈️ VPN set to 🇮🇩 = cheaper ...","openai","gpt-4o-mini","sns_draft_v1"
"22","본문 바로가기 이전 페이지 강원도민일보 구독 메인 뉴스판에서 강원도민일보 주요뉴스를 볼 수 있습니다.","openai","gpt-4o-mini","sns_draft_v1"
"23","카테고리 홈 찜한 기사 마이페이지 EN 오늘 보지 않기 동아사이언스 뉴스 라이브러리 AIR 스토어 가입/로그인 구독상품안내 구독인증 동아사이언스 홈 랭킹 연재 의대증원 메뉴열...","openai","gpt-4o-mini","sns_draft_v1"
"24","샤넬 향수 원료 만드는 과학자들, 실험실서 후각 수용체 발현 이채린 기자 2025.","openai","gpt-4o-mini","sns_draft_v1"
"25","“파킨슨병 환자, 줄기세포 이식받고 다시 지휘봉 잡았다” 허지윤 기자 2025.","openai","gpt-4o-mini","sns_draft_v1"
"26","기사 상세 사회 퀀트 투자 세계 1위한 25살 청년.","openai","gpt-4o-mini","sns_draft_v1"
